C05001140250|AD8V02-VIKAS GEN STORE|I|E-31 A SIDDHARTHA NAGAR|SIDDHARTHA BASTI|110014|-26340607|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140254|AD8G01-GURU NANAK STORE|I|C-55,JANGPURA B|JANGPURA-B|110014|-|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140255|AD8B05-BONI STORE|I|C-63,JANGPURA B|JANGPURA-B|110014|-9910308579|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140256|AD8R03-RAJDOOT HOTEL|I|13,JANGPURA B|JANGPURA-B|110014|-24376666|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140257|AD2A04-ASHOK STORE|I|O 8 B JANGPURA EXT.|PISORI MOHALA|110014|-24310704|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140258|AD2B02-BHATIA STORE|I|O 13 A JANGPURA|PISORI MOHALA|110014|-24311195|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140261|AD2D01-DARSHAN REF. CENTRE|I|H/17, JANGPURA EXT.||110014|-5182321|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140263|AD2G05-GURU TEG BHADUR STORE|I|O 9 B JANGPURA|PISORI MOHALA|110014|-9971949754|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140264|AD2J01-JEET STORES|I|O 9 A JANGPURA|PISORI MOHALA|110014|-24318362|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140266|AD2M03-MORNING STORE|I|H 1, JANGPURA EXT.|JANGPURA EXT|110014|-24315226|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140268|AD2N03-NEW DELHI PAN CENTRE|I|31/2, JANGPURA MKT.|JANGPURA EXT|110014|-24312337|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
